[14.02.2020 19:41:33, поток 0] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:41:33, поток 4] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:41:34, поток 9] Спарсили куки
[14.02.2020 19:41:34, поток 8] Спарсили куки
[14.02.2020 19:41:34, поток 10] [DEBUG] Start...
[14.02.2020 19:41:34, поток 1] Спарсили куки
[14.02.2020 19:41:34, поток 6] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:41:34, поток 0] Спарсили куки
[14.02.2020 19:41:35, поток 4] Спарсили куки
[14.02.2020 19:41:35, поток 10] Спарсили куки
[14.02.2020 19:41:35, поток 9] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:41:35, поток 2] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:41:35, поток 6] Спарсили куки
[14.02.2020 19:41:36, поток 8] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:41:36, поток 9] Спарсили куки
